timestamp,contract_type,action_taken,tx_hash,range_width_multiplier_setting,external_api_eth_price,actualPrice_pool,sqrtPriceX96_pool,currentTick_pool,targetTickLower_offchain,targetTickUpper_offchain,initial_contract_balance_token0,initial_contract_balance_token1,currentTickLower_contract,currentTickUpper_contract,currentLiquidity_contract,finalTickLower_contract,finalTickUpper_contract,finalLiquidity_contract,amount0_provided_to_mint,amount1_provided_to_mint,fees_collected_token0,fees_collected_token1,gas_used,gas_cost_eth,error_message,currentTick_pool_WETHUSDC_price,finalTickLower_contract_WETHUSDC_price,finalTickUpper_contract_WETHUSDC_price,amount_USDC_minted_readable,amount_USDC_minted_usd,initial_balance_USDC_readable,initial_balance_USDC_usd,fees_USDC_collected_readable,fees_USDC_collected_usd,amount_WETH_minted_readable,amount_WETH_minted_usd,initial_balance_WETH_readable,initial_balance_WETH_usd,fees_WETH_collected_readable,fees_WETH_collected_usd
2025-06-05 06:59:35,Baseline,tx_success_skipped_onchain,d536e86d0fd90fb1ad4a78351911cdeb7d2c585813ada2f5f8a4aefeac6c9af1,100,2609.65,2606.0042,1552001114256250512126756080488260,197664,197160,198160,10000000000,5000000000000000000,0,0,0,197160,198160,8003276381008221,10000000000,3903956716000525933,0,39371377174,555386,0.000577,Funding failed (final),2606.098,2740.8047,2479.9951,10000.0,10000.0,10000.0,10000.0,0.0,0.0,3.904,10214.816,5.0,13082.5,4e-08,0.0001
2025-06-05 08:00:53,Baseline,tx_success_skipped_onchain,3680a9cd2bbaf68ed6257d35da0ac8f91bc99179b1852530f68e41de9fc73fc3,100,2606.74,2604.2264,1552530779240052684424713976942084,197671,197170,198170,10000000000,5000000000000000000,0,0,0,197170,198170,7955673697729796,10000000000,3857925826872667673,0,39222656802,640663,0.000677,Funding failed (final),2604.2745,2738.0654,2477.5164,10000.0,10000.0,10000.0,10000.0,0.0,0.0,3.8579,10094.1954,5.0,13082.5,4e-08,0.0001
2025-06-05 08:50:25,Baseline,tx_success_skipped_onchain,f5efe3e9129f175396ad4131a32ca83e0e9ad11c651c2fcd10bf73e52ddb479e,100,2606.0,2604.9851,1552304666931826285023829036706236,197668,197160,198160,10000000000,5000000000000000000,0,0,0,197160,198160,8067732471495773,10000000000,3966308558400434230,0,39682737888,555386,0.000577,Funding failed (final),2605.0558,2740.8047,2479.9951,10000.0,10000.0,10000.0,10000.0,0.0,0.0,3.9663,10377.824,5.0,13082.5,4e-08,0.0001
2025-06-05 12:00:53,Baseline,tx_success_skipped_onchain,a8bb201d5d791deedb41215c3e8ea8fc3828ca2e18eb6242a3c5d08a843add6c,100,2607.85,2609.0841,1551084812467518270550803564938710,197652,197150,198150,10000000000,5000000000000000000,0,0,0,197150,198150,7969774233584774,10000000000,3871534626695273540,0,39206585630,600107,0.000624,Funding failed (final),2609.2271,2743.5468,2482.4762,10000.0,10000.0,10000.0,10000.0,0.0,0.0,3.8715,10129.7798,5.0,13082.5,4e-08,0.0001
2025-06-05 16:01:13,Baseline,tx_success_skipped_onchain,2fbc137aba27c2ef5626028a3b88e9e1460c0c22da242c71e9fa542817f87a4d,100,2595.19,2596.0485,1554974169947645320982353607623473,197702,197200,198200,10000000000,5000000000000000000,0,0,0,197200,198200,7991184672287446,10000000000,3892356715968613005,0,39621158665,521242,0.000574,Funding failed (final),2596.2141,2729.8639,2470.0954,10000.0,10000.0,10000.0,10000.0,0.0,0.0,3.8924,10184.4646,5.0,13082.5,4e-08,0.0001
2025-06-05 20:00:52,Baseline,tx_success_skipped_onchain,c4d0900413ef09b0065f654124d7b32a8cbf5545325b00e4d16b4cd83eca0171,100,2542.24,2531.7127,1574607715537552811111903989154872,197953,197450,198450,10000000000,5000000000000000000,0,0,0,197450,198450,8107495592936793,10000000000,4006391423202470775,0,40724918923,555526,0.000752,Funding failed (final),2531.8634,2662.4667,2409.1115,10000.0,10000.0,10000.0,10000.0,0.0,0.0,4.0064,10482.7456,5.0,13082.5,4e-08,0.0001
2025-06-06 00:00:54,Baseline,tx_success_skipped_onchain,7552bbd84ed28999829d3eb59bf5c264c79bd9cb97a4318be8d39f83523d4e86,100,2419.73,2419.6602,1610654526916821116471515489597411,198406,197900,198900,10000000000,5000000000000000000,0,0,0,197900,198900,8338088673656365,10000000000,4237076464300377658,0,64520451365,555498,0.000582,Funding failed (final),2419.7344,2545.3172,2303.1097,10000.0,10000.0,10000.0,10000.0,0.0,0.0,4.2371,11086.3721,5.0,13082.5,6e-08,0.0002
2025-06-06 04:00:54,Baseline,tx_success_skipped_onchain,3d0ae01ecb05c3eb75cf5553adea3adedb457f78125cc13da447d9711581a0cd,100,2450.25,2452.9777,1599678786831477329191254508125739,198269,197760,198760,10000000000,5000000000000000000,0,0,0,197760,198760,8335261671747909,10000000000,4233334539797540159,0,60665782809,521186,0.000536,Funding failed (final),2453.1112,2581.2004,2335.5784,10000.0,10000.0,10000.0,10000.0,0.0,0.0,4.2333,11076.4294,5.0,13082.5,6e-08,0.0002
2025-06-06 08:00:52,Baseline,tx_success_skipped_onchain,1957dfe896b3901854b99bffc0c05149812db5a96721fe5cd2bdf1dd0506aa76,100,2455.96,2454.4263,1599206653793471356249941711741975,198263,197760,198760,10000000000,5000000000000000000,0,0,0,197760,198760,8234896282411814,10000000000,4133287665243134910,0,59729363527,521186,0.000558,Funding failed (final),2454.5835,2581.2004,2335.5784,10000.0,10000.0,10000.0,10000.0,0.0,0.0,4.1333,10814.7794,5.0,13082.5,6e-08,0.0002
2025-06-06 12:00:52,Baseline,tx_success_skipped_onchain,c40d92bfc41f377a3e9239731605146aaccf49cd9dcd3118dce348bbc2f244bb,100,2479.65,2478.6081,1591386425634348692426257516205389,198165,197660,198660,10000000000,5000000000000000000,0,0,0,197660,198660,8226611270650955,10000000000,4124677249146005309,0,58908389449,555386,0.000577,Funding failed (final),2478.7554,2607.1406,2359.0502,10000.0,10000.0,10000.0,10000.0,0.0,0.0,4.1247,10792.2776,5.0,13082.5,6e-08,0.0002
