timestamp,contract_type,action_taken,tx_hash,range_width_multiplier_setting,external_api_eth_price,actualPrice_pool,sqrtPriceX96_pool,currentTick_pool,targetTickLower_offchain,targetTickUpper_offchain,initial_contract_balance_token0,initial_contract_balance_token1,currentTickLower_contract,currentTickUpper_contract,currentLiquidity_contract,finalTickLower_contract,finalTickUpper_contract,finalLiquidity_contract,amount0_provided_to_mint,amount1_provided_to_mint,fees_collected_token0,fees_collected_token1,gas_used,gas_cost_eth,error_message,currentTick_pool_WETHUSDC_price,finalTickLower_contract_WETHUSDC_price,finalTickUpper_contract_WETHUSDC_price,amount_USDC_minted_readable,initial_balance_USDC_readable,fees_USDC_collected_readable,amount_WETH_minted_readable,initial_balance_WETH_readable,fees_WETH_collected_readable
2025-05-28 15:28:31,Baseline,tx_sent,41a3d5759066a8652bed17bf518343dbf0871c2fd54b89d9051aa7dcbe64e07c,100,2630.34,2627.3918,1.54567135984759e+33,197582,197090,198080,2000000000,1e+18,0,0,0,197080,198080,1588619687467111,,,,,514741,0.001097,,2627.5548,2762.818,2499.9136,,2000.0,,,1.0,
2025-05-28 15:57:58,Baseline,tx_success_adjusted,86966f43b29ccbb4a4f675b225e83526a15bd42a1ec6af43219bdf6d51a1ef65,100,2634.56,2633.4809,1.54388340176227e+33,197559,197060,198050,2000000000,1e+18,0,0,0,197050,198050,1608667645308787,2000000000.0,7.8840471542714e+17,,,480597,0.000972,,2633.6048,2771.1185,2507.4242,2000.0,2000.0,,0.7884,1.0,
2025-05-28 16:00:39,Baseline,tx_success_adjusted,b2c6d07fc2bc048fd0a353420b9da476329d776d33ca820ae92a2fa5e2af1808,100,2633.87,2633.4942,1.54387951354832e+33,197559,197060,198050,2000000000,1e+18,0,0,0,197050,198050,1608500436424141,2000000000.0,7.88243827671323e+17,,,480597,0.00093,,2633.6048,2771.1185,2507.4242,2000.0,2000.0,,0.7882,1.0,
2025-05-28 20:00:39,Baseline,tx_success_adjusted,a7acf18e1284907c1f2dd31031447eb2e756b7ce41aa945ccad231f65266e29d,100,2629.97,2621.7544,1.54733227167673e+33,197604,197110,198100,2000000000,1e+18,0,0,0,197100,198100,1595016408946603,2000000000.0,7.75306612694693e+17,,,514825,0.000905,,2621.7808,2757.2982,2494.919,2000.0,2000.0,,0.7753,1.0,
2025-05-29 00:00:38,Baseline,tx_success_adjusted,7f0f9a279bbc59d3047c5a09852c2e4098d5be56932d542af556a73f789cf5c1,100,2678.29,2677.0438,1.53127026368772e+33,197395,196900,197890,2000000000,1e+18,0,0,0,196890,197890,1582542715063152,2000000000.0,7.63190025013517e+17,,,514685,0.000566,,2677.1499,2815.8107,2547.8636,2000.0,2000.0,,0.7632,1.0,
2025-05-29 04:00:38,Baseline,tx_success_adjusted,b087f305cb8db3d134702f5e09293c980a5e44fc9c349fed3cc7f3a61f80df88,100,2756.96,2760.1508,1.50804111295686e+33,197089,196590,197580,2000000000,1e+18,0,0,0,196580,197580,1571918105841862,2000000000.0,7.52783557641057e+17,,,514965,0.000717,,2760.3327,2904.4634,2628.0803,2000.0,2000.0,,0.7528,1.0,
2025-05-29 08:00:39,Baseline,tx_success_adjusted,b8f4580fdcea15d19d936898915dfa20442951f96375c1197ed0b88c748de76e,100,2731.95,2732.6848,1.51560076774954e+33,197189,196690,197680,2000000000,1e+18,0,0,0,196680,197680,1579837706767066,2000000000.0,7.60387244283227e+17,,,480429,0.000568,,2732.8683,2875.565,2601.9318,2000.0,2000.0,,0.7604,1.0,
2025-05-29 11:31:41,Baseline,tx_success_adjusted,0bfb740495375142f07277874812a9fef099b0f9bc33770217db1dd47cc48ff8,100,2728.67,2731.1911,1.51601513067253e+33,197195,196700,197690,2000000000,1e+18,0,0,0,196690,197690,1565972402665229,2000000000.0,7.47299548288129e+17,,,480513,0.00059,,2731.2292,2872.691,2599.3313,2000.0,2000.0,,0.7473,1.0,
2025-05-29 12:00:40,Baseline,tx_success_adjusted,c448ab2ae0dd8d3ed3aeb1c6be7e6d623ef99aa4a8b18f3860aa583f7758e217,100,2719.79,2714.5374,1.52065842437728e+33,197256,196760,197750,2000000000,1e+18,0,0,0,196750,197750,1574432822278793,2000000000.0,7.55355852338097e+17,,,480569,0.000629,,2714.6202,2855.5073,2583.7828,2000.0,2000.0,,0.7554,1.0,
2025-05-29 16:00:38,Baseline,tx_success_adjusted,a18b5b07a524c06db32779a3527be6034a0464a4bb6644dd72194810bb35a3f4,100,2651.45,2651.6297,1.53859085404193e+33,197490,197000,197980,2000000000,1e+18,0,0,0,196990,197990,1575610179470280,2000000000.0,7.56604411933543e+17,,,514853,0.000777,,2651.8386,2787.7943,2522.5132,2000.0,2000.0,,0.7566,1.0,
