timestamp,contract_type,action_taken,tx_hash,range_width_multiplier_setting,predictedPrice_api,predictedTick_calculated,external_api_eth_price,actualPrice_pool,sqrtPriceX96_pool,currentTick_pool,targetTickLower_calculated,targetTickUpper_calculated,initial_contract_balance_token0,initial_contract_balance_token1,finalTickLower_contract,finalTickUpper_contract,liquidity_contract,amount0_provided_to_mint,amount1_provided_to_mint,fees_collected_token0,fees_collected_token1,num_swaps_executed,gas_used,gas_cost_eth,error_message
7/15/2025 9:44,Predictive,fees_collect_only_success,0x6137fe2614eb644d24161a882e9693bf19ded8e021c206702187cf0f407d1fb5,20,2973.719233,196344,2981.64,2979.164904,1.45155E+33,196326,0,0,2E+12,5E+19,196230,196440,6.27699E+17,2.09821E+11,5E+19,47938108,1.86426E+16,35,516849,0.000602489,
7/16/2025 5:06,Predictive,fees_collect_only_success,0x9d1c7969582bfe6fe9b2a6396a650c1346fa200660f06af53b225c7e132f0663,20,3130.597439,195830,3122.1,3129.233393,1.41632E+33,195834,0,0,2E+12,5E+19,195740,195950,5.04611E+17,1.3915E+11,5E+19,52043228,1.29095E+16,35,561514,0.000622721,
2025-07-16 06:01:58,Predictive,fees_collect_only_success,0xbc74cb595924c5e9b06d16a0e948f62258c61fd13beceb32580fa8110f434cca,20,3137.595772622824,195807,3145.96,3136.37541415428541096748734693015640918298940760053271931802064620775504366306,1414703940945112291881885892697208,195811,0,0,2000000000000,50000000000000000000,195730,195940,974928004442332913,414948911645,49999999999999999979,68192422,32263263333068031,35,485703,0.000536111919963846,
2025-07-16 08:07:19,Predictive,fees_collect_only_success,0xc03dc3084cd1b25024bc2f757ae75b6eb3c04548837185095e0af52b2fc30784,20,3165.168236886263,195720,3167.24,3164.48183632365415715852935780284262282821332163514076600923036150151258388132,1408407341205309983979664046870536,195722,0,0,2000000000000,50000000000000000000,195610,195820,492789002164383862,132067818341,49999999999999999952,50572286,15560754984282846,35,516821,0.000651749969703239,
2025-07-16 12:07:18,Predictive,fees_collect_only_success,0xa3d19cdc40e0ddbd6ba06674d87fbea0cb68a7f8ef2102efc302a47b7474a6ab,20,3165.214243057966,195720,3152.05,3157.63886029001374294648189900364642230289618350628500936889609187181909879888,1409932607749517957634560979018586,195744,0,0,2000000000000,50000000000000000000,195630,195840,403963763112382336,79861730050,49999999999999999929,48063810,10690966228665069,35,516737,0.000797150630007082,
2025-07-16 20:07:22,Predictive,fees_collect_only_success,0xbaa1f879075e09e4ab91ee66c9bab9fac50fa47c05c6fa801a136c71cf3afe72,20,3355.8572868561746,195135,3369.47,3375.94879553549375223337973995121607959293688158306812885169780485404169045570,1363583251594623891719977608042614,195075,0,0,2000000000000,50000000000000000000,195030,195240,2661465668232271952,1449439557071,49999999999999999995,133279722,66702917780864566,35,516821,0.001183592972614241,
2025-07-17 00:07:20,Predictive,fees_collect_only_success,0xc6cfd6ce4de164f32cf4b17e6a145ac30c85ee4476f5003022a12ffd8ee40cd1,20,3382.252333910465,195056,3369.79,3378.87827995606344867837601518907049392932610613525479136508984586964568601090,1362992010690993848968459859832447,195066,0,0,2000000000000,50000000000000000000,194950,195160,456403866700203099,108874395657,49999999999999999973,61988737,16236032682661083,35,561402,0.000699657520647816,
2025-07-17 04:07:22,Predictive,fees_collect_only_success,0xfe52a71b49905c90c821b1e8770a8ddca07407b280a3df7bf7e571c0981d5323,20,3340.7610147857667,195180,3326.53,3338.11785035954803951114981161062469221010324324085271004614628343394140244113,1371288238756746088780613641402199,195188,0,0,2000000000000,50000000000000000000,195070,195270,429027969967215083,80336704871,49999999999999999939,60121410,14914294987961099,35,482762,0.000547465695819252,
2025-07-17 08:07:34,Predictive,fees_collect_only_success,0x8bfa888014705aae5fb098f7f806e31557d7b9a0e827f25b1a2b33f6843d44a0,20,3415.855866497755,194958,3448.57,3443.92808296308119993281004072718645325208495588180095591549143095045362183746,1350058373530576580070384891040192,194876,0,0,2000000000000,50000000000000000000,194850,195060,3345627564363357752,2000000000000,15457060153090917411,141544982,70805441738612703,35,477783,0.000856676493770958,
2025-07-17 12:07:20,Predictive,fees_collect_only_success,0x8a8eb318a40605d55b02656f528646b45f90d46efd308e389ab6669e402188a9,20,3427.4536815977094,194924,3436.71,3424.58792384967277204018793523846394361806843190979266179817646628450856153938,1353865194074574201047056037439880,194932,0,0,2000000000000,50000000000000000000,194810,195020,631638248489322218,215903012142,49999999999999999960,51164573,22920214795989189,35,482649,0.000698090848407591,
2025-07-17 16:07:20,Predictive,fees_collect_only_success,0x45fd7e8f2d65f5f7eec836496b87b095945b197c83926f869203d561ee5fc64a,20,3427.7175071132183,194923,3421.32,3425.45268823134477802244116066877541847587667681706083142373386400320257932124,1353694289904443976989420053748631,194930,0,0,2000000000000,50000000000000000000,194800,195010,425478089519256569,89466363981,49999999999999999957,47986440,12567781084056670,35,516765,0.002780524512401850,
2025-07-17 20:07:22,Predictive,fees_collect_only_success,0x73d6695e07d92cf4daa06050d2f8d3b30898280c288e9047108664318f0a80ea,20,3393.760692565441,195023,3423.96,3400.87807263840046394699126993419133380293530277122280476305068826254530994637,1358576358093603516695146627949344,195002,0,0,2000000000000,50000000000000000000,194890,195100,759448043100795678,293876537380,49999999999999999935,57281618,28231058049043006,35,516765,0.000979950190426140,
2025-07-18 00:07:13,Predictive,fees_collect_only_success,0x8ee27104f19909d164f77f6a835b6c82cf86af2252e75c3fe1213bdf99f031b8,20,3454.0932429349423,194846,3478.59,3467.85200574408070093929840400641851296612122265946380816229040633865203689474,1345393441096817704767843830345171,194807,0,0,2000000000000,50000000000000000000,194740,194950,1568335903616997930,793634256598,49999999999999999997,92198358,46155826061955031,35,516765,0.000726583070968005,
