timestamp,contract_type,action_taken,tx_hash,range_width_multiplier_setting,predictedPrice_api,predictedTick_calculated,external_api_eth_price,actualPrice_pool,sqrtPriceX96_pool,currentTick_pool,targetTickLower_calculated,targetTickUpper_calculated,initial_contract_balance_token0,initial_contract_balance_token1,finalTickLower_contract,finalTickUpper_contract,liquidity_contract,amount0_provided_to_mint,amount1_provided_to_mint,fees_collected_token0,fees_collected_token1,gas_used,gas_cost_eth,error_message
2025-06-12 17:00:58,Predictive,fees_collect_only_success,0x495426c0e05a0e5f92b14b65512a2bfcb586a77103cb185ec6823222a0de8337,100,2749.6339623212816,197127,2738.94,2739.69642937385088415359659535276520377910283165676615374551111742470304190850,1513660095771238407999309283998104,197164,0,0,10000000000,5000000000000000000,196620,197630,8259375537769756,10000000000,4217922107561595567,0,8212698249604,511513,0.000643639672372800,
2025-06-12 20:06:45,Predictive,fees_collect_only_success,0x18431c126e3d082fe48ca2aeaa641b772e752cd44f0473c16c9636fb9a656888,100,2729.790534904003,197200,2699.81,2696.14368089107309145767474841740827941624031701769725920371287502274951028966,1525836738480649055366593350176376,197324,0,0,10000000000,5000000000000000000,196700,197710,8469272924519712,8432893618,4999999999999999774,0,6258509748200,516267,0.000634243016294082,
2025-06-13 00:06:59,Predictive,fees_collect_only_success,0x7cbd22df2e8beab451216a9ac02acf1b4148baa449d6ee24b8ee4d9a5c29ed2f,100,2669.780595713854,197422,2651.88,2644.66200617057287407630026081661810152679936931197190225516519931966194205740,1540616325653192380557054841210277,197517,0,0,10000000000,5000000000000000000,196880,197890,8235627496401621,7878019886,4999999999999999834,0,10385738739379,481955,0.000521437099643690,
2025-06-13 04:06:48,Predictive,fees_collect_only_success,0xed3ebcd100af565ec83c339f890b11fc3544aaca566162a4cd10938e22278714,100,2559.20277410388,197845,2515.72,2516.87151773850393185148347162440294239208276676940145947533570447429705379542,1579243364162147901107573724983194,198012,0,0,10000000000,5000000000000000000,197330,198340,7511384013782991,6177708251,4999999999999999922,0,11047050161976,482095,0.000550884325630400,
2025-06-13 08:06:45,Predictive,fees_collect_only_success,0x8e058642a98b83db599d3393a4f09d2d3dd184506b1b662498a844946a5d5577,100,2549.6204269087316,197883,2529.20,2525.20734545047260851160593409913177008093465384420527274613766636879838490085,1576634631341807303459664560675838,197979,0,0,10000000000,5000000000000000000,197380,198390,8548600112711757,8785767324,4999999999999999445,0,10946951475019,482123,0.000541253114668547,
2025-06-13 20:06:41,Predictive,fees_collect_only_success,0xc0161d486f28a6b5c9f853178a9bfa8dcb48a3ad0da3427c63b671801c2afa17,100,2513.044100461006,198027,2529.27,2534.30199143800693338698306858591444956460284909440995127784160825699055400163,1573803117723545149674012940040950,197943,0,0,10000000000,5000000000000000000,197520,198530,7116377753212380,10000000000,3100996483840426285,177535,0,521894,0.000562975992625280,
2025-06-14 00:06:57,Predictive,fees_collect_only_success,0x4dbcbcaeaed16a910af28e2411ae25c516414e8246e205174c4166e739159efd,100,2542.7439241826532,197910,2577.88,2584.86956542380912860019964483103847114511842100000449016954388699381233513632,1558332998499318727985323246291967,197745,0,0,10000000000,5000000000000000000,197400,198410,6205634315178364,10000000000,2210374913192823143,152778,0,511457,0.000535572141289730,
2025-06-14 04:06:46,Predictive,fees_collect_only_success,0xef1a767404c2ea992a142b1b0fc13d7847ca2391b5a06648af2d9c0b6b192621,100,2539.8131606519223,197921,2550.78,2555.67877319424516976206029512321671820487813020115634723257320189306062632880,1567207317684618742101555317786757,197859,0,0,10000000000,5000000000000000000,197420,198430,7285436579565212,10000000000,3271996944608618322,179728,0,511541,0.000534465830638676,
2025-06-14 08:06:46,Predictive,fees_collect_only_success,0x19214fc8ad58cd1e4af558ca8d3dc54cb599d2df3f4eee0c0813511bc0b1a1f1,100,2531.769464310408,197953,2539.44,2544.01629828802636714551606866305018996356181524445676394535601335943641043860,1570795466197351355389414664302513,197905,0,0,10000000000,5000000000000000000,197440,198450,7658407978036137,10000000000,3640181994979536977,190740,0,511457,0.000535261709906295,
2025-06-14 12:06:42,Predictive,fees_collect_only_success,0xa1dfce92f1ab4d83e606dfd96f2de17f4c0bdfae08c425c66d394c92f45f776c,100,2530.7720959460735,197957,2538.50,2544.50753299333554603279749111111546444252298911634433160218982863144906621995,1570643832436473605280075774941207,197903,0,0,10000000000,5000000000000000000,197450,198460,7489817858806113,10000000000,3473164784130959218,186585,0,511541,0.000528669913042507,
2025-06-14 16:06:47,Predictive,fees_collect_only_success,0xf059f1115d7e8840e54f7db561da302ded8b73fcec11929f177eb6ed0c79935f,100,2520.9440985131264,197996,2517.28,2525.32441965744152536475457634980337992889444697503975252302879118866478281645,1576598084475377047053552182602655,197978,0,0,10000000000,5000000000000000000,197500,198510,7893227176794205,10000000000,3872400803621749608,197493,0,477425,0.000543967707793900,
2025-06-14 20:08:09,Predictive,metrics_update_failed,,100,2505.647614399195,198057,2510.03,2509.98792542932121319633472032357968985509776968802129467274624156747542787675,1581407403336149342538354809481054,198039,0,0,10000000000,5000000000000000000,0,0,0,0,0,0,0,0,0,"Metrics Update Error: HTTPConnectionPool(host='127.0.0.1', port=8545): Read timed out. (read timeout=60)"
2025-06-15 00:06:49,Predictive,fees_collect_only_success,0x90ae78938242d00bc3228946eacea235b2b659147c39217aac955738d63c3519,100,2521.87075368762,197992,2533.75,2537.84292888250885137968540590303860747195239746085003119270143122763059597433,1572704806332581379629407561059564,197929,0,0,10000000000,5000000000000000000,197490,198500,7314660874025409,10000000000,3298627793393059581,181995,0,477341,0.000491643697265070,
2025-06-15 04:06:47,Predictive,fees_collect_only_success,0x56ad4f78d18db3f36afb153f2198defdaa42291dabd88feb1045c26d4dc76f27,100,2532.029029995203,197952,2532.29,2537.41674814918013694447814456974202288289400735922885664703148285614281311331,1572836875364344585567136420401990,197931,0,0,10000000000,5000000000000000000,197450,198460,7905908784742881,10000000000,3885180824639343506,196695,0,511541,0.000529115299514223,
2025-06-15 06:46:35,Predictive,fees_collect_only_success,0xdb6f348ec587be51b69d71f2ca41785dad065ce6e25234cfb6c5cea1bce308e1,100,2532.9877758944035,197948,2537.33,2556.79747216860658083497322411349170931079626057663263582490130941315621271404,1566864422899834580875348425904566,197854,0,0,10000000000,5000000000000000000,197440,198450,7788128304069012,10000000000,3768581790826469355,771715,0,20,511457,0.000528908579268471,
2025-06-15 08:07:00,Predictive,fees_collect_only_success,0x603761ee2588e7f71568c5b3f7b08ad83dcf028a20fe2015d4285c13d0ad3c28,100,2565.3903202092647,197821,2530.36,2528.43813852358821950252018530414039451280810106550246674136099143309970249987,1575627011579648857869702031821919,197966,0,0,10000000000,5000000000000000000,197310,198320,7908079870536160,7164418728,4999999999999999878,0,39324322103514,20,516351,0.000536782306832640,
2025-06-15 12:07:04,Predictive,fees_collect_only_success,0xb05884a98419501687be49b6bd3d8fb19c05cd5537dd763423e985144b5f9bd3,100,2560.9765676128864,197838,2517.31,2514.30550404014709639215180804922853803079973368322874781714064694789143307606,1580049019382127976522145432701190,198022,0,0,10000000000,5000000000000000000,197330,198340,7491359859316556,6127684666,4999999999999999936,0,42457782852599,20,482095,0.000499535890140455,
2025-06-15 20:07:03,Predictive,fees_collect_only_success,0x6cff89707c701facd356988a3d39ba2b2e819d0c16b81f88cefaf3e29702298b,100,2557.468739014864,197852,2534.71,2533.69814797200944355708754143312274451872309280094658022958510331050381004502,1573990644820060470940135884096609,197945,0,0,10000000000,5000000000000000000,197340,198350,8579984040643957,8856800501,4999999999999999575,0,42543121794362,20,516379,0.000542095702310589,
2025-06-16 00:07:02,Predictive,fees_collect_only_success,0x06530789b1b3223a650b9ba66f4a4c6d5e40d05b4d839efa3af5ef9bf7324172,100,2572.0720066773893,197795,2547.02,2544.71905811983491456520265335988136660952437666987724454152925240279687774544,1570578552629143855640998913887308,197902,0,0,10000000000,5000000000000000000,197290,198300,8505975550243311,8660950174,4999999999999999419,0,42112762377450,20,516323,0.000531009358017667,
2025-06-16 04:07:14,Predictive,fees_collect_only_success,0x4d7f00b44e5452e70f3f75fdc502c16e7d7806f149f5af9a1435911a7d1cbebb,100,2572.5190049135686,197793,2569.60,2568.60626875396961187473671575113983654236101446453399359891925746441420729477,1563258557247013145756223670022528,197808,0,0,10000000000,5000000000000000000,197300,198300,8044530265853701,10000000000,3944419500000303131,0,21689754559354,20,511570,0.000597451372503790,
2025-06-16 08:07:03,Predictive,fees_collect_only_success,0x3f2b2aae443da6c98897e45ee28419e6dc8d2a95e5a056f2a86a95e99b135062,100,2633.924464645386,197557,2626.30,2625.00529136469029553631420100211762003271596883896215763078737645683983345581,1546373832988066764972254820350189,197591,0,0,10000000000,5000000000000000000,197050,198060,8252915586101895,10000000000,4222313015550080409,0,40942145653930,20,511541,0.000544692008404101,
2025-06-16 12:07:04,Predictive,fees_collect_only_success,0xcbb5ff6fcaca612e0a04f7d609e9d9dfd089ca7ef0cb01d8e10705e6296cbe86,100,2639.95240909338,197534,2616.11,2614.65721380184512650308119089182458718235164224076707442891258106485314722122,1549430867517191356874616611466886,197631,0,0,10000000000,5000000000000000000,197010,198020,8501718396606873,8590187065,4999999999999999938,0,42331884369350,20,516239,0.000564758676424672,
2025-06-16 16:07:02,Predictive,fees_collect_only_success,0x356825c822aab1ab6dbadd48634de4664ee0abfe2020f46b3656fa28eb68a740,100,2664.076966377497,197443,2639.17,2631.62164334659805410602209254052048456686267109692312155532208807630237128594,1544428683968348669959145277007263,197566,0,0,10000000000,5000000000000000000,196940,197950,8456394534709948,8458325792,4999999999999999994,0,41881492294855,20,516323,0.000602089075854758,
2025-06-16 20:08:15,Predictive,metrics_update_failed,,100,2695.7473877871034,197325,2654.87,2659.80568967580897588472770405330903928642683998486017836925690107202407675004,1536224292547172458589752338720559,197460,0,0,10000000000,5000000000000000000,0,0,0,0,0,0,0,0,0,0,"Metrics Update Error: HTTPConnectionPool(host='127.0.0.1', port=8545): Read timed out. (read timeout=60)"
2025-06-17 00:07:05,Predictive,fees_collect_only_success,0xa6569a9b00b902c55ef34d323fd887fdaef469470cc59e156e877cd5d48d4927,100,2599.1148319888116,197690,2552.42,2541.29055468556015175457687475462041083722775792634055514723154833047371251016,1571637644241844766033763655028062,197915,0,0,10000000000,5000000000000000000,197170,198180,6983981708343704,4799995063,4999999999999999292,0,35517923717421,20,601432,0.000698559591446184,
2025-06-17 04:07:13,Predictive,fees_collect_only_success,0xd5aaac31aac96f115a173dd48ec71105c69eeff78085ad083d294ff9ea8dceb9,100,2625.2148147690295,197590,2606.94,2604.27362752707304974623689280277786812138139759532007642979745134571545064186,1552516688437379778975455458556468,197671,0,0,10000000000,5000000000000000000,197080,198090,8918730983426780,9666310996,4999999999999999925,0,44316338729377,20,485233,0.000500869049689701,
2025-06-17 08:07:11,Predictive,fees_collect_only_success,0xd0e8174f49cd9dac02ec37267a8fdbea0b1b893b22baa3a54cbddccdab34ab6d,100,2615.4918931603434,197628,2583.81,2582.42043296266745021658021936703489835462823785324377030686768190730144705578,1559071774303924647786916155808080,197755,0,0,10000000000,5000000000000000000,197120,198130,8227443646947618,7919262938,4999999999999999450,0,30782957223194,20,516239,0.000534138270915550,
2025-06-17 12:07:03,Predictive,fees_collect_only_success,0x1b0b91a2dfa3aee196c2bf28bf0de3c40d2e5f1676b8b4e0382c5aa5c7174a82,100,2596.8875085031987,197699,2549.34,2550.44033472436415910990242908355243475492195881471369014371817143391430647191,1568815963014999324678524859749319,197879,0,0,10000000000,5000000000000000000,197200,198210,7672010851649956,6539376299,4999999999999999803,0,38646679302230,20,482011,0.000539075616632809,
